Model,mAP50,mAP50-95,Precision,Recall
YOLOv8n,0.9220173321335637,0.7574447472968515,0.9282636766240397,0.84121339330658
YOLOv8s,0.9363045146314486,0.7866591557230509,0.9683347612270659,0.8931900029472378
RT-DETR,0.9658823229945658,0.8356381595058231,0.9790680809634784,0.9387660495218184
